Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,10u,
C2,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,0.1u,
C3,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,1u,
D1,LED_D5.0mm,1,LED,
"J1, J2",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J3, J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"J5, J7",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Screw_Terminal_01x02,
J6,Barrel_Jack_PTH,1,Barrel_Jack_PTH,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,330,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,560,
S1,Switch_Slide_11.6x4mm_EG1218,1,EG1218,EG1218
U2,TO-220-3_Vertical,1,LM317_TO-220,
U3,TO-220-3_Vertical,1,LM7805_TO220,
