Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C15, C16, C17, C18, C2, C20, C21, C4, C8",0805,13,0.1u,
"C11, C19",0805,2,1u,
"C13, C3, C5, C7",T491A,4,10u,
C22,0805,1,10n,
C6,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,1u,
C9,T491A,1,4.7u,
F1,FUSC3226X100N,1,0ZCH0110AF2E,
J1,BELFUSE_SS-52400-002,1,SS-52400-002,
J2,JST_B2B-PH-SM4-TB,1,B2B-PH-SM4-TB,
J3,AMPHENOL_GSD090012SEU,1,GSD090012SEU,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"LED4, LED6, LED7",LEDC2012X120N,3,LTST-C170KRKT,
"LED5, LED9",LEDC2012X120N,2,LTST-C170GKT,
LED8,LEDC2012X120N,1,LTST-C170TBKT,
MK1,CUI_CMC-5042PF-AC,1,CMC-5042PF-AC,
Q1,TRANS_TEMT6000X01,1,TEMT6000X01,
"Q2, Q3",SOT-23,2,BC817,
"R10, R16, R18, R7, R8, R9",0805,6,470,
R11,0805,1,1K,
R12,0805,1,22.1K,
R13,0805,1,47.5K,
"R14, R27",0805,2,1M,
"R15, R17, R20, R22",0805,4,50,
"R19, R21, R23, R29, R30, R32, R33, R34",0805,8,10K,
"R24, R25",0805,2,4.7K,
"R26, R28, R36",0805,3,2K,
"R3, R4",0805,2,5.1K,
R31,0805,1,100K,
R35,0805,1,20K,
"S1, S2",SW_USLPT2819DT2TR,2,USLPT2819DT2TR,
TP1,TestPoint_Pad_D1.0mm,1,MOSI,
TP2,TestPoint_Pad_D1.0mm,1, MISO,
TP3,TestPoint_Pad_D1.0mm,1,CLOCK,
TP4,TestPoint_Pad_D1.0mm,1,CS,
TP5,TestPoint_Pad_D1.0mm,1,CS_SD,
TP6,TestPoint_Pad_D1.0mm,1,3.3V,
TP7,TestPoint_Pad_D1.0mm,1,5V,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871,
U2,PSON65P250X250X100-8N,1,BME280,
U3,MODULE_ESP32-C3-WROOM-02-H4,1,ESP32-C3-WROOM-02-H4,
U4,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm,1,CP2102N-Axx-xQFN20,
U5,SOT-666,1,USBLC6-2P6,
U6,SOIC127P790X216-8N,1,W25Q32JVSSIQ,
U7,SOT65P210X110-5N,1,MAX4466EXK,
VR1,VREG_LM1117MPX-3.3,1,LM1117MPX-3.3,
