Designator,Mid X,Mid Y,Rotation,Layer
C1,171.36,-101.19,270.0,top
C10,176.0558,-93.4138,90.0,top
C11,169.8836,-92.8042,270.0,top
C12,179.2764,-109.2547,0.0,top
C13,195.715,-83.8,180.0,top
C14,203.425,-84.6,0.0,top
C15,178.8,-77.4,90.0,top
C16,174.4674,-64.8268,180.0,top
C17,161.0614,-70.5358,180.0,top
C18,152.1989,-68.3858,0.0,top
C19,155.8489,-74.7858,180.0,top
C2,150.2664,-94.4372,0.0,top
C20,146.7989,-72.5858,270.0,top
C21,185.4298,-109.1919,180.0,top
C22,161.0864,-74.9358,180.0,top
C3,150.4588,-91.2876,180.0,top
C4,142.0114,-84.074,90.0,top
C5,145.1356,-84.1902,270.0,top
C6,152.05,-111.77,0.0,top
C7,193.25,-68.94,270.0,top
C8,196.25,-67.7,90.0,top
C9,172.957,-93.276,90.0,top
F1,159.57,-100.582,180.0,top
J1,166.83,-107.66,0.0,top
J2,142.777,-107.6198,0.0,top
J3,203.025,-100.1,0.0,top
J4,162.687,-62.103,270.0,top
J5,148.6154,-62.1538,90.0,top
LED4,145.2626,-79.4258,180.0,top
LED5,159.0632,-92.7178,90.0,top
LED6,161.8572,-92.7068,90.0,top
LED7,139.7254,-98.0296,90.0,top
LED8,145.2372,-97.9788,90.0,top
LED9,142.5956,-97.9788,90.0,top
MK1,166.6739,-71.6358,180.0,top
Q1,164.8766,-83.4898,0.0,top
Q2,179.3678,-103.3238,270.0,top
Q3,185.6,-103.2125,270.0,top
R10,149.225,-79.4258,0.0,top
R11,167.56,-90.9725,90.0,top
R12,176.8112,-98.397,0.0,top
R13,176.7924,-96.284,0.0,top
R14,155.8364,-70.5358,0.0,top
R15,196.4,-75.4,270.0,top
R16,159.1394,-96.5278,90.0,top
R17,190.025,-84.6,0.0,top
R18,161.781,-96.5786,270.0,top
R19,209.975,-83.4,270.0,top
R20,193.4,-75.4,90.0,top
R21,147.6756,-101.7505,90.0,top
R22,185.0,-81.0,0.0,top
R23,165.2766,-80.4898,180.0,top
R24,177.3174,-62.0268,270.0,top
R25,179.6174,-62.0268,270.0,top
R26,160.9864,-68.3858,180.0,top
R27,155.8489,-68.3858,180.0,top
R28,161.0614,-72.7358,0.0,top
R29,149.817667,-101.774,90.0,top
R3,160.50755,-112.4138,90.0,top
R30,155.8489,-72.6358,0.0,top
R31,148.9989,-72.5858,270.0,top
R32,175.9134,-111.909,90.0,top
R33,185.4984,-106.3875,0.0,top
R34,179.3678,-106.4503,0.0,top
R35,151.959733,-101.7486,90.0,top
R36,154.1018,-101.7486,270.0,top
R4,160.48215,-107.7402,270.0,top
R7,142.5956,-101.7505,90.0,top
R8,145.2118,-101.7251,270.0,top
R9,139.7254,-101.8013,270.0,top
S1,185.4324,-112.3672,0.0,top
S2,179.35,-112.4,0.0,top
U1,152.0858,-106.9919,270.0,top
U2,174.4674,-62.0268,90.0,top
U3,207.4034,-69.774,0.0,top
U4,166.27,-95.4,90.0,top
U5,166.7725,-100.29,270.0,top
U6,185.0,-76.8,0.0,top
U7,152.1989,-72.5858,270.0,top
VR1,150.6474,-85.1408,90.0,top
