"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"16MHz";;;
2;"R6";"R_0805_2012Metric";1;"R10K";;;
3;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
4;"C1,C2";"C_0805_2012Metric";2;"22pF";;;
5;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
6;"J3";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09";;;
7;"C3,C4";"C_0805_2012Metric";2;"0.1uF";;;
8;"R5,R4";"R_0805_2012Metric";2;"4.7K";;;
9;"Y2";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"32.768 KHz";;;
10;"R2,R1";"R_0805_2012Metric";2;"330";;;
11;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
12;"U2,U1";"SOIC-8_5.3x5.3mm_P1.27mm";2;"24LC1025";;;
13;"U3";"SOIC127P600X175-8N";1;"DS1337S_";;;
14;"J2,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
15;"R3,R7";"R_0805_2012Metric";2;"10K";;;
16;"U4";"QFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
17;"C5";"C_0805_2012Metric";1;"100nF";;;
